Code,Name,Category,Price_CLP,Availability,Delivery,Inventario,Supplier,Brand
PRI7Z7H2LT,NOTEBOOK HP PROBOOK 440 G10 - I5 - 16GB - 512 GB - W11P,NOTEBOOK PROBOOK,1151761.111111111,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI7Z7H4LT,NOTEBOOK HP PROBOOK 440 G10 - I7 - 16GB - 512 GB - W11P,NOTEBOOK PROBOOK,1160444.4444444445,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI22762,PROYECTOR EPSON POWERLITE W52+ 4000 LUMENES WXGA WIFI,PROYECTOR EPSON POWERLITE,1193147.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI77160,TRITURADORA DE PAPEL DAHLE 410-50414 18 HOJAS CHALLA 100 L,TRITURADORA PAPEL,1182816.6666666667,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI26780,IMPRESORA EPSON MULTIFUNCIONAL WF-M5799,IMPRESORA MULTIFUNCIONAL,1232612.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI27970,TRITURADORA DE PAPEL DAHLE 510-50422 15 HOJAS MICROCHALLA,TRITURADORA DE PAPEL,1199893.3333333333,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI29231,TRITURADORA DE PAPEL DAHLE 606-40330 5 HOJAS 08X12 60 L,TRITURADORA PAPEL,1247153.3333333333,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI28068,PROYECTOR EPSON POWERLITE 119W 4000 LUMENES WXGA,PROYECTOR EPSON POWERLITE,1329606.6666666667,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI26435,"PLOTTER EPSON 24"" SURECOLOR T3170",PLOTTER SURECOLOR,1365455.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI29672,IMPRESORA EPSON MULTIFUNCIONAL ECOTANK L15150,IMPRESORA MULTIFUNCIONAL,1373712.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI26849,SCANNER EPSON WORKFORCE DS-970,SCANNER WORKFORCE,1404978.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
